ProductName,Category,Brand,UnitPrice
Tarp,Outdoor & Garden,FakeLuxeAura,112
Garden Hose,Kitchen & Dining,FakeZenithStyle,747
Keyboard,Home & Furniture,FakeUrbanGlow,253
Router,Home Appliances,FakeZenithStyle,778
Sewing Machine,Sports & Recreation,FakeLuxeAura,185
Water Filter,Health & Fitness,FakeEtherealEdge,744
Yoga Mat,Arts & Crafts,FakeEtherealEdge,416
Speaker,Toys & Games,FakeZenithStyle,587
3D Printer,Outdoor & Garden,FakeLuxeAura,873
Toothpaste,Kitchen & Dining,FakeLuxeAura,399
Backpack,Home Appliances,FakeVelvetVista,688
Sewing Machine,Home & Furniture,FakeLuxeAura,943
Electric Car,Home Appliances,FakeZenithStyle,617
Dog Collar,Pets,FakeEtherealEdge,282
Outdoor Umbrella,Home Appliances,FakeZenithStyle,885
Fish Food,Sports & Recreation,FakeVelvetVista,751
Suitcase,Home Appliances,FakeVelvetVista,766
Robot Vacuum,Home & Furniture,FakeZenithStyle,245
Grill,Arts & Crafts,FakeVelvetVista,263
Elliptical,Arts & Crafts,FakeUrbanGlow,944
Fan,Electronics,FakeVelvetVista,841
Stove,Home Appliances,FakeVelvetVista,750
Elliptical,Electronics,FakeLuxeAura,348
Fishing Rod,Home Appliances,FakeUrbanGlow,880
Camera,Toys & Games,FakeEtherealEdge,514
Pet Feeder,Toys & Games,FakeEtherealEdge,408
Camping Chair,Home & Furniture,FakeEtherealEdge,206
Earbuds,Sports & Recreation,FakeZenithStyle,242
Tablet,Home & Furniture,FakeUrbanGlow,918
Action Figure,Home Appliances,FakeZenithStyle,177
Backpack,Pets,FakeZenithStyle,873
Bird Cage,Pets,FakeVelvetVista,940
Helmet,Health & Fitness,FakeLuxeAura,691
Game Console,Health & Fitness,FakeEtherealEdge,224
BBQ Grill,Electronics,FakeLuxeAura,104
BBQ Grill,Electronics,FakeLuxeAura,840
Electric Shaver,Arts & Crafts,FakeEtherealEdge,483
Home Security Camera,Pets,FakeLuxeAura,718
Robot Vacuum,Kitchen & Dining,FakeLuxeAura,589
Speaker,Health & Fitness,FakeZenithStyle,948
Backpacking Stove,Home Appliances,FakeZenithStyle,703
Craft Kit,Home & Furniture,FakeEtherealEdge,697
Cat Litter Box,Sports & Recreation,FakeLuxeAura,320
Blender,Home Appliances,FakeZenithStyle,729
Golf Clubs,Kitchen & Dining,FakeUrbanGlow,251
Washing Machine,Home & Furniture,FakeLuxeAura,782
Snorkel Gear,Health & Fitness,FakeLuxeAura,973
Coffee Maker,Arts & Crafts,FakeEtherealEdge,723
Lamp,Arts & Crafts,FakeZenithStyle,823
Memory Card,Home & Furniture,FakeVelvetVista,193
Air Purifier,Home & Furniture,FakeEtherealEdge,528
Lamp,Home & Furniture,FakeZenithStyle,844
Tarp,Health & Fitness,FakeUrbanGlow,614
Badminton Set,Home Appliances,FakeZenithStyle,928
Blender,Outdoor & Garden,FakeEtherealEdge,581
Aquarium,Kitchen & Dining,FakeEtherealEdge,847
Grill,Sports & Recreation,FakeEtherealEdge,636
Coffee Maker,Arts & Crafts,FakeLuxeAura,143
Dehumidifier,Kitchen & Dining,FakeUrbanGlow,431
Trekking Poles,Home & Furniture,FakeLuxeAura,132
Earbuds,Outdoor & Garden,FakeEtherealEdge,265
Snorkel Gear,Kitchen & Dining,FakeUrbanGlow,753
Tackle Box,Arts & Crafts,FakeZenithStyle,403
Game Console,Kitchen & Dining,FakeUrbanGlow,407
Mattress,Outdoor & Garden,FakeEtherealEdge,576
Refrigerator,Toys & Games,FakeVelvetVista,688
Oven,Electronics,FakeLuxeAura,996
Electric Kettle,Pets,FakeVelvetVista,981
Bird Cage,Pets,FakeVelvetVista,941
Washing Machine,Home & Furniture,FakeZenithStyle,698
VR Headset,Home & Furniture,FakeZenithStyle,524
Fan,Pets,FakeEtherealEdge,651
Refrigerator,Kitchen & Dining,FakeUrbanGlow,417
Oven,Arts & Crafts,FakeLuxeAura,284
Hiking Backpack,Toys & Games,FakeVelvetVista,644
Stove,Arts & Crafts,FakeUrbanGlow,546
Fitness Tracker,Kitchen & Dining,FakeVelvetVista,759
Doll,Kitchen & Dining,FakeVelvetVista,612
Antivirus,Outdoor & Garden,FakeZenithStyle,128
Bird Feeder,Health & Fitness,FakeUrbanGlow,626
Tackle Box,Health & Fitness,FakeEtherealEdge,447
Printer,Toys & Games,FakeUrbanGlow,528
Volleyball,Kitchen & Dining,FakeVelvetVista,202
Cat Litter Box,Arts & Crafts,FakeZenithStyle,812
Bluetooth Speaker,Outdoor & Garden,FakeEtherealEdge,259
Telescope,Health & Fitness,FakeUrbanGlow,599
Pet Toy,Kitchen & Dining,FakeLuxeAura,681
Cat Tree,Health & Fitness,FakeEtherealEdge,351
Monitor,Arts & Crafts,FakeUrbanGlow,662
Refrigerator,Home Appliances,FakeLuxeAura,426
Antivirus,Electronics,FakeEtherealEdge,992
Puzzle,Outdoor & Garden,FakeUrbanGlow,321
Sheets,Health & Fitness,FakeEtherealEdge,967
Router,Sports & Recreation,FakeUrbanGlow,378
Electric Shaver,Electronics,FakeVelvetVista,852
Bird Cage,Pets,FakeVelvetVista,521
Garden Hose,Health & Fitness,FakeZenithStyle,484
Electric Toothbrush,Health & Fitness,FakeUrbanGlow,280
Cat Tree,Electronics,FakeEtherealEdge,312
Dishwasher,Pets,FakeUrbanGlow,125
Fitness Tracker,Electronics,FakeVelvetVista,111
Backpack,Toys & Games,FakeEtherealEdge,523
Toy Car,Home & Furniture,FakeLuxeAura,111
Electric Shaver,Pets,FakeLuxeAura,160
Pet Toy,Home & Furniture,FakeEtherealEdge,687
Fitness Tracker,Outdoor & Garden,FakeEtherealEdge,651
Game Console,Electronics,FakeZenithStyle,988
Headphones,Sports & Recreation,FakeVelvetVista,615
Mattress,Outdoor & Garden,FakeVelvetVista,797
Wi-Fi Extender,Electronics,FakeEtherealEdge,672
Binoculars,Electronics,FakeZenithStyle,785
Electric Kettle,Electronics,FakeUrbanGlow,901
Action Figure,Toys & Games,FakeLuxeAura,162
Snowboard,Sports & Recreation,FakeVelvetVista,121
Baseball Glove,Health & Fitness,FakeEtherealEdge,528
Badminton Set,Kitchen & Dining,FakeVelvetVista,701
Router,Electronics,FakeZenithStyle,722
Board Game,Electronics,FakeZenithStyle,105
Electric Kettle,Health & Fitness,FakeUrbanGlow,310
Life Jacket,Sports & Recreation,FakeUrbanGlow,650
Blender,Arts & Crafts,FakeUrbanGlow,335
Dog House,Electronics,FakeUrbanGlow,613
Patio Furniture,Outdoor & Garden,FakeUrbanGlow,681
Surfboard,Toys & Games,FakeUrbanGlow,176
Board Game,Home & Furniture,FakeUrbanGlow,437
Art Supplies,Kitchen & Dining,FakeVelvetVista,335
Board Game,Arts & Crafts,FakeZenithStyle,780
Projector,Arts & Crafts,FakeLuxeAura,190
Baseball Glove,Home & Furniture,FakeZenithStyle,943
Bluetooth Speaker,Kitchen & Dining,FakeZenithStyle,853
Hammock,Home Appliances,FakeUrbanGlow,954
Headphones,Home Appliances,FakeUrbanGlow,825
Tarp,Sports & Recreation,FakeZenithStyle,465
Dog Leash,Health & Fitness,FakeZenithStyle,890
Monitor,Toys & Games,FakeVelvetVista,441
Volleyball,Electronics,FakeLuxeAura,698
Sled,Home Appliances,FakeLuxeAura,916
Binoculars,Electronics,FakeUrbanGlow,291
Keyboard,Arts & Crafts,FakeVelvetVista,774
Trekking Poles,Pets,FakeLuxeAura,368
Router,Home Appliances,FakeVelvetVista,153
Snowboard,Arts & Crafts,FakeEtherealEdge,817
Home Security Camera,Health & Fitness,FakeEtherealEdge,519
Binoculars,Electronics,FakeUrbanGlow,224
Building Blocks,Arts & Crafts,FakeZenithStyle,596
Antivirus,Pets,FakeZenithStyle,724
Fire Pit,Pets,FakeEtherealEdge,589
Trekking Poles,Home Appliances,FakeUrbanGlow,215
Cooler,Health & Fitness,FakeUrbanGlow,598
Dehumidifier,Outdoor & Garden,FakeEtherealEdge,420
Coffee Maker,Pets,FakeEtherealEdge,375
Home Security Camera,Kitchen & Dining,FakeVelvetVista,899
Drone,Electronics,FakeEtherealEdge,231
Ski Poles,Pets,FakeUrbanGlow,747
Tent,Toys & Games,FakeEtherealEdge,886
Vacuum Cleaner,Arts & Crafts,FakeLuxeAura,601
Router,Health & Fitness,FakeZenithStyle,346
Fish Food,Kitchen & Dining,FakeVelvetVista,299
Ski Goggles,Toys & Games,FakeVelvetVista,423
Smartwatch,Electronics,FakeLuxeAura,843
Patio Furniture,Electronics,FakeEtherealEdge,745
Lamp,Outdoor & Garden,FakeZenithStyle,962
Dumbbells,Toys & Games,FakeZenithStyle,992
Ski Poles,Pets,FakeUrbanGlow,802
Building Blocks,Sports & Recreation,FakeLuxeAura,573
Treadmill,Sports & Recreation,FakeLuxeAura,500
Suitcase,Pets,FakeEtherealEdge,706
Badminton Set,Outdoor & Garden,FakeLuxeAura,985
Tennis Racket,Home Appliances,FakeZenithStyle,596
Kayak,Electronics,FakeZenithStyle,874
Hair Dryer,Home & Furniture,FakeEtherealEdge,176
Bicycle,Home Appliances,FakeZenithStyle,865
Electric Scooter,Outdoor & Garden,FakeVelvetVista,473
Smart Light,Outdoor & Garden,FakeEtherealEdge,455
Sleeping Bag,Kitchen & Dining,FakeLuxeAura,501
Dog Collar,Outdoor & Garden,FakeZenithStyle,308
Badminton Set,Outdoor & Garden,FakeEtherealEdge,758
Sled,Outdoor & Garden,FakeLuxeAura,222
Helmet,Home & Furniture,FakeVelvetVista,936
Memory Card,Toys & Games,FakeLuxeAura,330
Portable Hard Drive,Arts & Crafts,FakeVelvetVista,615
Bird Cage,Sports & Recreation,FakeEtherealEdge,790
Wi-Fi Extender,Pets,FakeVelvetVista,573
Life Jacket,Arts & Crafts,FakeEtherealEdge,592
Backpacking Stove,Home & Furniture,FakeEtherealEdge,376
Volleyball,Home & Furniture,FakeZenithStyle,585
Bicycle,Arts & Crafts,FakeZenithStyle,723
Portable Charger,Home Appliances,FakeVelvetVista,611
Electric Toothbrush,Outdoor & Garden,FakeLuxeAura,592
Refrigerator,Health & Fitness,FakeZenithStyle,817
Thermos,Pets,FakeVelvetVista,173
Bicycle,Outdoor & Garden,FakeUrbanGlow,701
Flashlight,Health & Fitness,FakeVelvetVista,197
Water Bottle,Arts & Crafts,FakeUrbanGlow,751
Refrigerator,Sports & Recreation,FakeEtherealEdge,189
Building Blocks,Pets,FakeZenithStyle,712
Volleyball,Home & Furniture,FakeUrbanGlow,133
Fire Pit,Home & Furniture,FakeZenithStyle,313
Laptop,Home Appliances,FakeZenithStyle,842
Electric Toothbrush,Kitchen & Dining,FakeVelvetVista,857
Tennis Racket,Kitchen & Dining,FakeZenithStyle,827
Pet Feeder,Sports & Recreation,FakeEtherealEdge,932
Ski Goggles,Toys & Games,FakeEtherealEdge,379
Camping Tent,Arts & Crafts,FakeVelvetVista,437
Paddleboard,Kitchen & Dining,FakeLuxeAura,441
Patio Furniture,Toys & Games,FakeEtherealEdge,371
Air Purifier,Toys & Games,FakeUrbanGlow,368
Blender,Arts & Crafts,FakeZenithStyle,361
Smartphone,Electronics,FakeZenithStyle,730
Bed,Outdoor & Garden,FakeEtherealEdge,901
Tarp,Home Appliances,FakeLuxeAura,589
Rain Jacket,Toys & Games,FakeZenithStyle,992
Smartwatch,Sports & Recreation,FakeLuxeAura,492
Rain Jacket,Pets,FakeEtherealEdge,111
Showerhead,Electronics,FakeEtherealEdge,856
Pet Feeder,Electronics,FakeLuxeAura,766
Supplement,Home Appliances,FakeEtherealEdge,217
Bed,Kitchen & Dining,FakeEtherealEdge,431
Electric Kettle,Toys & Games,FakeLuxeAura,214
Headphones,Sports & Recreation,FakeZenithStyle,776
Thermos,Outdoor & Garden,FakeUrbanGlow,277
Vacuum Cleaner,Arts & Crafts,FakeEtherealEdge,706
Antivirus,Sports & Recreation,FakeUrbanGlow,948
Basketball,Kitchen & Dining,FakeEtherealEdge,213
Basketball,Outdoor & Garden,FakeUrbanGlow,386
Pet Toy,Home Appliances,FakeLuxeAura,243
Doll,Health & Fitness,FakeEtherealEdge,182
Doll,Outdoor & Garden,FakeLuxeAura,186
Patio Furniture,Outdoor & Garden,FakeLuxeAura,920
Electric Scooter,Home & Furniture,FakeZenithStyle,376
Drone,Home & Furniture,FakeVelvetVista,995
Sled,Home & Furniture,FakeVelvetVista,579
Snow Shovel,Pets,FakeVelvetVista,754
Electric Shaver,Health & Fitness,FakeZenithStyle,645
Garden Tools,Sports & Recreation,FakeUrbanGlow,256
Speaker,Outdoor & Garden,FakeVelvetVista,505
3D Printer,Health & Fitness,FakeEtherealEdge,113
Board Game,Home & Furniture,FakeVelvetVista,100
Pet Feeder,Pets,FakeLuxeAura,325
Bicycle,Health & Fitness,FakeEtherealEdge,472
Smartphone,Pets,FakeVelvetVista,633
Hiking Backpack,Electronics,FakeLuxeAura,942
Aquarium,Toys & Games,FakeUrbanGlow,675
Soap,Health & Fitness,FakeEtherealEdge,887
Wetsuit,Home & Furniture,FakeEtherealEdge,410
Lamp,Outdoor & Garden,FakeZenithStyle,121
Patio Furniture,Home & Furniture,FakeLuxeAura,725
Toothpaste,Arts & Crafts,FakeUrbanGlow,782
Dishwasher,Arts & Crafts,FakeZenithStyle,804
Paddleboard,Toys & Games,FakeEtherealEdge,375
Wetsuit,Kitchen & Dining,FakeLuxeAura,604
Hair Dryer,Home & Furniture,FakeUrbanGlow,582
Dumbbells,Sports & Recreation,FakeZenithStyle,665
3D Printer,Sports & Recreation,FakeUrbanGlow,224
Laptop,Toys & Games,FakeEtherealEdge,792
BBQ Grill,Kitchen & Dining,FakeVelvetVista,142
Ice Skates,Kitchen & Dining,FakeEtherealEdge,475
Laptop,Arts & Crafts,FakeVelvetVista,788
Fitness Tracker,Electronics,FakeZenithStyle,322
Garden Hose,Arts & Crafts,FakeEtherealEdge,121
Monitor,Health & Fitness,FakeLuxeAura,722
Treadmill,Sports & Recreation,FakeUrbanGlow,397
Fan,Home Appliances,FakeEtherealEdge,363
Suitcase,Home Appliances,FakeEtherealEdge,394
Suitcase,Pets,FakeVelvetVista,405
Dog House,Electronics,FakeUrbanGlow,348
Water Filter,Outdoor & Garden,FakeZenithStyle,302
Soccer Ball,Toys & Games,FakeUrbanGlow,583
Life Jacket,Outdoor & Garden,FakeUrbanGlow,231
Snorkel Gear,Outdoor & Garden,FakeEtherealEdge,866
Speaker,Electronics,FakeUrbanGlow,386
Snow Shovel,Home Appliances,FakeLuxeAura,602
Thermos,Health & Fitness,FakeEtherealEdge,220
Snorkel Gear,Health & Fitness,FakeVelvetVista,544
Ski Poles,Outdoor & Garden,FakeLuxeAura,711
Wi-Fi Extender,Health & Fitness,FakeUrbanGlow,527
Projector,Arts & Crafts,FakeVelvetVista,541
Plant Pot,Health & Fitness,FakeEtherealEdge,823
Elliptical,Pets,FakeEtherealEdge,703
Blender,Toys & Games,FakeZenithStyle,137
Craft Kit,Home & Furniture,FakeZenithStyle,124
Puzzle,Sports & Recreation,FakeEtherealEdge,204
Sheets,Arts & Crafts,FakeZenithStyle,333
Lawn Sprinkler,Home & Furniture,FakeZenithStyle,838
Dog House,Pets,FakeZenithStyle,175
Humidifier,Arts & Crafts,FakeZenithStyle,894
Cat Tree,Home & Furniture,FakeLuxeAura,891
Smartphone,Electronics,FakeEtherealEdge,535
Paddleboard,Outdoor & Garden,FakeVelvetVista,143
Cooler,Kitchen & Dining,FakeVelvetVista,509
Action Figure,Home Appliances,FakeVelvetVista,394
Fish Food,Home & Furniture,FakeEtherealEdge,959
Surfboard,Home Appliances,FakeZenithStyle,261
Washing Machine,Health & Fitness,FakeUrbanGlow,748
Garden Hose,Health & Fitness,FakeEtherealEdge,364
Pet Toy,Toys & Games,FakeEtherealEdge,832
Drone,Toys & Games,FakeVelvetVista,231
Sewing Machine,Home & Furniture,FakeEtherealEdge,350
Dumbbells,Sports & Recreation,FakeUrbanGlow,211
Life Jacket,Health & Fitness,FakeLuxeAura,192
Jacket,Health & Fitness,FakeZenithStyle,868
VR Headset,Kitchen & Dining,FakeEtherealEdge,531
Snorkel Gear,Sports & Recreation,FakeEtherealEdge,918
Volleyball,Pets,FakeLuxeAura,984
Game Console,Arts & Crafts,FakeUrbanGlow,981
Pet Feeder,Home Appliances,FakeEtherealEdge,264
Dishwasher,Electronics,FakeVelvetVista,144
Ice Skates,Health & Fitness,FakeUrbanGlow,462
Wi-Fi Extender,Arts & Crafts,FakeLuxeAura,489
Hair Dryer,Pets,FakeUrbanGlow,546
Ping Pong Table,Toys & Games,FakeEtherealEdge,391
Microwave,Home & Furniture,FakeVelvetVista,961
Robot Vacuum,Health & Fitness,FakeZenithStyle,417
Camera,Sports & Recreation,FakeZenithStyle,302
Snorkel Gear,Outdoor & Garden,FakeLuxeAura,645
Portable Hard Drive,Arts & Crafts,FakeUrbanGlow,706
Juicer,Toys & Games,FakeZenithStyle,240
Wi-Fi Extender,Home & Furniture,FakeEtherealEdge,964
Drone,Arts & Crafts,FakeVelvetVista,784
Coffee Maker,Outdoor & Garden,FakeZenithStyle,491
Dog House,Arts & Crafts,FakeEtherealEdge,561
Bicycle,Pets,FakeVelvetVista,695
Smart Light,Pets,FakeVelvetVista,470
Lamp,Toys & Games,FakeVelvetVista,811
Mattress,Arts & Crafts,FakeUrbanGlow,167
Sleeping Pad,Outdoor & Garden,FakeLuxeAura,464
Telescope,Arts & Crafts,FakeLuxeAura,790
Hiking Backpack,Home Appliances,FakeUrbanGlow,409
Telescope,Home Appliances,FakeEtherealEdge,182
Doll,Kitchen & Dining,FakeLuxeAura,796
Soap,Kitchen & Dining,FakeEtherealEdge,633
Wi-Fi Extender,Outdoor & Garden,FakeLuxeAura,294
Snorkel Gear,Health & Fitness,FakeUrbanGlow,398
Antivirus,Pets,FakeLuxeAura,482
Kayak,Home Appliances,FakeZenithStyle,827
Doll,Toys & Games,FakeLuxeAura,119
Golf Clubs,Electronics,FakeZenithStyle,241
Lawn Sprinkler,Health & Fitness,FakeVelvetVista,639
Soccer Ball,Kitchen & Dining,FakeEtherealEdge,699
Puzzle,Sports & Recreation,FakeLuxeAura,957
Lawn Mower,Sports & Recreation,FakeZenithStyle,815
Telescope,Kitchen & Dining,FakeLuxeAura,902
Elliptical,Toys & Games,FakeLuxeAura,901
Supplement,Health & Fitness,FakeEtherealEdge,953
Game Console,Pets,FakeUrbanGlow,775
Dart Board,Home Appliances,FakeZenithStyle,323
